id,family,img,n_slices,n_group,crop_mm,window,full_corpus_gib,source,subset_n,slots_decoded,gbdt_macro_auc,gbdt_ci95_lo,gbdt_ci95_hi,ssim_vs_336x9_c130
res_128x9_c130,resolution,128,9,3,130.0,"0.35,0.65",3.631,downsample_from_336x9_c130,200,977,0.6282300870086807,0.597766400307775,0.6597034191312316,0.9327366366686585
res_160x9_c130,resolution,160,9,3,130.0,"0.35,0.65",5.674,downsample_from_336x9_c130,200,977,0.632939881674442,0.6020882796518595,0.6625406071603329,0.9766476328873307
res_192x9_c130,resolution,192,9,3,130.0,"0.35,0.65",8.17,downsample_from_336x9_c130,200,977,0.627783015555366,0.5978846481972409,0.6583287443633884,0.9998313858092938
res_224x9_c130,resolution,224,9,3,130.0,"0.35,0.65",11.121,downsample_from_336x9_c130,200,977,0.6226650430719824,0.5913392890482186,0.6542026607583731,0.9908917042104457
res_256x9_c130,resolution,256,9,3,130.0,"0.35,0.65",14.525,downsample_from_336x9_c130,200,977,0.6221017115793684,0.5917325208928744,0.6558634953795671,0.9890860244956708
res_288x9_c130,resolution,288,9,3,130.0,"0.35,0.65",18.383,downsample_from_336x9_c130,200,977,0.6205731352909059,0.5899713976360879,0.6528227985412124,0.9952818510347763
res_336x9_c130,resolution,336,9,3,130.0,"0.35,0.65",25.022,decode_336x9_c130,200,977,0.6189144401050385,0.5905125503389395,0.6463916583944525,1.0
slc_224x3_c130,slices,224,3,1,130.0,"0.35,0.65",3.707,native,200,977,0.5894973685455518,0.5570543308950373,0.6232642735584208,0.5090187880410529
slc_224x6_c130,slices,224,6,2,130.0,"0.35,0.65",7.414,native,200,977,0.625305721697082,0.5933256998158911,0.6579685889713798,0.6728133669166547
slc_224x12_c130,slices,224,12,4,130.0,"0.35,0.65",14.828,native,200,977,0.6374313588138425,0.6079081371841839,0.6689989193034074,0.8557439034712825
slc_224x15_c130,slices,224,15,5,130.0,"0.35,0.65",18.535,native,200,977,0.6187539886211542,0.5899025408959943,0.6492381291122017,0.7022516081406396
crp_224x9_c110,crop,224,9,3,110.0,"0.35,0.65",11.121,native,200,977,0.6110484516877582,0.5747814206835801,0.6476702188869082,0.18631793209350594
crp_224x9_c160,crop,224,9,3,160.0,"0.35,0.65",11.121,native,200,977,0.637421854303258,0.606117199658795,0.666194250037198,0.2000272030765894
tiny_160x3_c130,tiny,160,3,1,130.0,"0.40,0.60",1.891,native,200,977,0.59266612061555,0.5613914760390288,0.6246509960491982,0.5052207606814919
tiny_128x3_c130,tiny,128,3,1,130.0,"0.40,0.60",1.21,downsample_from_160x3_c130,200,977,0.5973491114002715,0.5626437280436278,0.6307887681406656,0.4985994964456459
