experiment_id,day,sequence,status,ready_to_run,depends_on,artifact_status,title,parent_graph,target_scope,execution_mode,weight,weight_rule,source_refs,code_config_sha256,visible_output_sha256,kaggle_kernel,kaggle_version,submission_ref,submitted_at_utc,public_score,rank_after,runtime_minutes,decision,blocker,evidence_path,notes
S01,1,1,scored,no,,validated,Exact pinned A0 control,A0,all,single_graph,1.00,exact_graph,renta0426/rsna-knee-0-937-weak-label-dinov2-meniscus-resid@V1#kernel133076816#script347142162,afe5268282faf939dfce25802bbe0987d014093fd88db1c782184ffb0da5ab2f,11bb66f2bc7ca21d4282de3696f5ea5531f90c6c2958164b6ad6931811af2213,dmitriigluzdov/rsna-week1-a0-s01-s05,1,56034297,2026-09-05T13:57:58Z,0.937,183,,pending,,experiments/S01/RESULT.json,submitted v1 submission.csv COMPLETE 56034297 public 0.937; A0 anchor unchanged
S02,1,2,scored,no,S01@artifact,validated,Exact five-target V6,A0,five_v6_targets,unified_hidden_graph,1.00,exact_v6,prvsiyan/the-bee-s-knees-final-rsna-push@V6#kernel133138832#script347412699,44be34ce7d8e97da79b27f94f19b552de4f25a0f8da2c98acc863202198022a6,2cac0e299962c28589656de5254ce2e2511b56c4b9e0e6a9faf0a82c2930480d,dmitriigluzdov/rsna-week1-a0-s01-s05,2,56034425,2026-09-05T14:05:35Z,0.937,183,,pending,,experiments/S02/RESULT.json,submitted v2 submission.csv COMPLETE 56034425 public 0.937; A0 anchor unchanged
S03,1,3,scored,no,S01@artifact,validated,ACL-only V6,A0,ACL,unified_hidden_graph,0.80,raptor_outer_weight,prvsiyan/the-bee-s-knees-final-rsna-push@V6#kernel133138832#script347412699,82adfc33c72b846e96eeb2666e72cfc5bfcc31f92129152c33f0b6b0d24c9aba,46030cb9e24e0dd1da0335aeaf4649ea42a9e6227bf289ad432027a76af7e26f,dmitriigluzdov/rsna-week1-a0-s01-s05,3,56034555,2026-09-05T14:12:43Z,0.937,183,,pending,,experiments/S03/RESULT.json,submitted v3 submission.csv COMPLETE 56034555 public 0.937; A0 anchor unchanged
S04,1,4,scored,no,S01@artifact,validated,Non-ACL four-target V6,A0,LatOA-PFOA-Synovitis-Baker,unified_hidden_graph,1.00,exact_non_acl_v6,prvsiyan/the-bee-s-knees-final-rsna-push@V6#kernel133138832#script347412699,09cd320ec9864724ef7271d2353d3035fd856b06d7c7ba6e1df6019083bc583d,437ce53745e72e89175623d03c4b567b23da9a606af5832fbd898cd1bcee2937,dmitriigluzdov/rsna-week1-a0-s01-s05,4,56034661,2026-09-05T14:20:11Z,0.937,183,,pending,,experiments/S04/RESULT.json,submitted v4 submission.csv COMPLETE 56034661 public 0.937; A0 anchor unchanged
S05,1,5,scored,no,S01@artifact,validated,Midpoint five-target V6,A0,five_v6_targets,unified_hidden_graph,0.50,residual_fraction,prvsiyan/the-bee-s-knees-final-rsna-push@V6#kernel133138832#script347412699,8c8e0621a2fed21722113c2ac1786ff8f7062c3c787dd174f09255ba14bb8798,2cac0e299962c28589656de5254ce2e2511b56c4b9e0e6a9faf0a82c2930480d,dmitriigluzdov/rsna-week1-a0-s01-s05,5,56034764,2026-09-05T14:26:04Z,0.937,183,,pending,,experiments/S05/RESULT.json,submitted v5 submission.csv COMPLETE 56034764 public 0.937; A0 anchor unchanged
S06,2,1,scored,no,S01@artifact,validated,MCL Raptor direction,A0,MCL,unified_hidden_graph,0.80,raptor_outer_weight,renta0426/rsna-knee-0-937-weak-label-dinov2-meniscus-resid@V1#kernel133076816#script347142162,d4870ce1b9114b34de769f0c3fd9295f7a2e6c8020498e48b8b8de80b7c5aac0,f9820d7c83d32b3f828a383aee4220e5e195719466d2d133fcbc2c1843b162ae,dmitriigluzdov/rsna-week1-a0-s01-s05,6,56045332,2026-09-06T02:56:45Z,0.937,183,,pending,,experiments/S06/RESULT.json,submitted COMPLETE 56045332 public 0.937; A0 anchor unchanged; same as A0
S07,2,2,scored,no,S01@artifact,validated,Lateral meniscus Raptor direction,A0,Lateral_Meniscus,unified_hidden_graph,0.80,raptor_outer_weight,renta0426/rsna-knee-0-937-weak-label-dinov2-meniscus-resid@V1#kernel133076816#script347142162,9b55d362ac1eb0aeda806d822c92dfeaa77824ea44791579643c89bb3dc69899,66f1aacd7e7be1624e81a18261da598012165f639bfaccfab191758788f8723f,dmitriigluzdov/rsna-week1-a0-s01-s05,7,56045415,2026-09-06T03:01:50Z,0.937,183,,pending,,experiments/S07/RESULT.json,submitted COMPLETE 56045415 public 0.937; A0 anchor unchanged; same as A0
S08,2,3,scored,no,S01@artifact,validated,Medial OA Transformer direction,A0,Medial_OA,unified_hidden_graph,0.35,raptor_outer_weight,renta0426/rsna-knee-0-937-weak-label-dinov2-meniscus-resid@V1#kernel133076816#script347142162,18e35f7eb432fe6845a8d7fb3a907c0ef99b88671164411d80e3cc189d9c3351,882aed80f3c7c5366cc04350adcde45f249f4e4c6f7d9e0e421a325cd30e2393,dmitriigluzdov/rsna-week1-a0-s01-s05,8,56045503,2026-09-06T03:06:06Z,0.936,183,,pending,,experiments/S08/RESULT.json,submitted COMPLETE 56045503 public 0.936; A0 anchor unchanged; public -0.001 vs A0 treated as noise
S09,2,4,scored,no,S01@artifact,validated,Effusion Transformer direction,A0,Effusion,unified_hidden_graph,0.35,raptor_outer_weight,renta0426/rsna-knee-0-937-weak-label-dinov2-meniscus-resid@V1#kernel133076816#script347142162,c33b6c9a68929d4c0ca8870bc91e6f6bbfc495ba16813c706040ca3fa90b0cb9,c95bb2dc03775756a316a1af70c5d45b919950ebfabc93d07d02c85ce3200d17,dmitriigluzdov/rsna-week1-a0-s01-s05,9,56045563,2026-09-06T03:10:16Z,0.936,183,,pending,,experiments/S09/RESULT.json,submitted COMPLETE 56045563 public 0.936; A0 anchor unchanged; public -0.001 vs A0 treated as noise
S10,2,5,scored,no,S01@artifact,validated,Bone Raptor direction,A0,Contusion-Fracture,unified_hidden_graph,0.80,raptor_outer_weight,renta0426/rsna-knee-0-937-weak-label-dinov2-meniscus-resid@V1#kernel133076816#script347142162,6658465d36a4921612862ba4bf1cd49c2d412dba6933106575eca1fd866d78f7,e3ca1debd969b76de3053151eeeba090994bfbd4413b0cbcf21175ec4176818b,dmitriigluzdov/rsna-week1-a0-s01-s05,10,56045624,2026-09-06T03:14:54Z,0.936,183,,pending,,experiments/S10/RESULT.json,submitted COMPLETE 56045624 public 0.936; A0 anchor unchanged; public -0.001 vs A0 treated as noise
S11,3,1,planned,no,FOLDS_V1@ready;DINO_CACHE_V1@ready;LABEL_PILKWANG_V1@ready,missing_training_assets,Pilkwang public weak-label control,A0,all,unified_hidden_graph,0.25,shared_feature_head_weight,ops/EXPERIMENT_SPECS.md,,,,,,,,,,pending,folds_ready_missing_dino_cache,experiments/S11/RESULT.json,FOLDS_V1 sha256 3086df3341333f44adb883292da386857c3230eaa2d501514ddf827a2da11b1a
S12,3,2,planned,no,FOLDS_V1@ready;DINO_CACHE_V1@ready;LABEL_PILKWANG_V1@ready;LABEL_STEVEN_V6@ready;LABEL_LIXIN_V1@ready,missing_training_assets,Three-teacher median consensus,A0,all,unified_hidden_graph,0.25,shared_feature_head_weight,ops/EXPERIMENT_SPECS.md,,,,,,,,,,pending,folds_ready_missing_dino_cache,experiments/S12/RESULT.json,FOLDS_V1 sha256 3086df3341333f44adb883292da386857c3230eaa2d501514ddf827a2da11b1a
S13,3,3,planned,no,FOLDS_V1@ready;DINO_CACHE_V1@ready;LABEL_PILKWANG_V1@ready;LABEL_STEVEN_V6@ready;LABEL_LIXIN_V1@ready,missing_training_assets,Three-teacher mean consensus,A0,all,unified_hidden_graph,0.25,shared_feature_head_weight,ops/EXPERIMENT_SPECS.md,,,,,,,,,,pending,folds_ready_missing_dino_cache,experiments/S13/RESULT.json,FOLDS_V1 sha256 3086df3341333f44adb883292da386857c3230eaa2d501514ddf827a2da11b1a
S14,3,4,planned,no,FOLDS_V1@ready;DINO_CACHE_V1@ready;LABEL_PILKWANG_V1@ready;LABEL_STEVEN_V6@ready;LABEL_LIXIN_V1@ready,missing_training_assets,Disagreement and unknown mask,A0,all,unified_hidden_graph,0.25,shared_feature_head_weight,ops/EXPERIMENT_SPECS.md,,,,,,,,,,pending,folds_ready_missing_dino_cache,experiments/S14/RESULT.json,FOLDS_V1 sha256 3086df3341333f44adb883292da386857c3230eaa2d501514ddf827a2da11b1a
S15,3,5,planned,no,LABEL_ABLATIONS@evaluated,waiting_dependency,Confidence and expert58 weighting,A0,all,unified_hidden_graph,0.25,shared_feature_head_weight,ops/EXPERIMENT_SPECS.md,,,,,,,,,,pending,waiting_for_label_ablation_evidence,experiments/S15/RESULT.json,
S16,4,1,planned,no,LABEL_WINNER@ready;FOLDS_V1@ready,missing_training_assets,Physical crop 130mm 9x224,A0,all,unified_hidden_graph,0.40,transformer_component_replacement_share,ops/EXPERIMENT_SPECS.md,,,,,,,,,,pending,missing_geometry_weights,experiments/S16/RESULT.json,
S17,4,2,planned,no,LABEL_WINNER@ready;FOLDS_V1@ready,missing_training_assets,Physical crop 160mm 12x224,A0,all,unified_hidden_graph,0.40,transformer_component_replacement_share,ops/EXPERIMENT_SPECS.md,,,,,,,,,,pending,missing_geometry_weights,experiments/S17/RESULT.json,
S18,4,3,planned,no,LABEL_WINNER@ready;FOLDS_V1@ready,missing_training_assets,Physical crop 120mm 9x336,A0,all,unified_hidden_graph,0.40,transformer_component_replacement_share,ops/EXPERIMENT_SPECS.md,,,,,,,,,,pending,missing_geometry_weights,experiments/S18/RESULT.json,
S19,4,4,planned,no,LABEL_WINNER@ready;FOLDS_V1@ready,missing_training_assets,Top2 series slot MIL,A0,all,unified_hidden_graph,0.40,transformer_component_replacement_share,ops/EXPERIMENT_SPECS.md,,,,,,,,,,pending,missing_geometry_weights,experiments/S19/RESULT.json,
S20,4,5,planned,no,LABEL_WINNER@ready;FOLDS_V1@ready,missing_training_assets,Dual-scale target-gated fusion,A0,all,unified_hidden_graph,0.40,transformer_component_replacement_share,ops/EXPERIMENT_SPECS.md,,,,,,,,,,pending,missing_geometry_weights,experiments/S20/RESULT.json,
S21,5,1,planned,no,GEOMETRY_WINNER@ready;FOLDS_V1@ready,missing_training_assets,DINOv2 diagnosis slot attention,A0,all,unified_hidden_graph,0.40,transformer_component_replacement_share,ops/EXPERIMENT_SPECS.md,,,,,,,,,,pending,missing_architecture_weights,experiments/S21/RESULT.json,
S22,5,2,scored,no,PIXEL_CACHE_V1@ready;FOLDS_V1@ready;LABEL_PILKWANG_V1@ready;S01@artifact,validated,ResNet18 2.5D plane heads,A0,all,unified_hidden_graph,0.40,transformer_component_replacement_share,ops/EXPERIMENT_SPECS.md,13fb27978aad7049aab95dd58c8515f4c24127b4f523fb0c74d0c2eda6a35152,5a2b3fb5894b7be8ae01ea9bbb6a15e7ae376d2713ce2b3cfebc5674a222d471,dmitriigluzdov/rsna-s22-a0-rank-blend,2,56118771,2026-09-09T09:09:04Z,0.931,,4,reject,,experiments/S22/RESULT.json,scored v2 COMPLETE 56118771 public 0.931; overlay rejected vs A0 0.937; kernel private; local OOF 0.768 kept; S22-reg 0.757 lost; S22-head OOF 0.769 tie
S23,5,3,local_evaluated,no,PIXEL_CACHE_V1@ready;FOLDS_V1@ready;LABEL_PILKWANG_V1@ready,validated,ConvNeXt-Tiny 2.5D,A0,all,unified_hidden_graph,0.40,transformer_component_replacement_share,ops/EXPERIMENT_SPECS.md,,,,,,,,,,defer_submit,,experiments/S23/RESULT.json,OOF macro AUC 0.713 on PIXEL_CACHE_V1; lost to S22 0.768; NSU A100 run 20260909T0635Z-s23-convnext-tiny-25d; not a Kaggle submit
S24,5,4,scored,no,PIXEL_CACHE_V1@ready;FOLDS_V1@ready;LABEL_PILKWANG_V1@ready,validated,Torchvision r3d18 9-slice standalone,none_local_3d,all,unified_hidden_graph,0.40,transformer_component_replacement_share,ops/EXPERIMENT_SPECS.md,7411fd908c0f83ba124d060326a2a9ab0065a490f2cd658d133b32dfa3bf9972,fa26c029ae24c201c685005b5a52aaf9477cf76daa8a7f86927f975618bd14bc,dmitriigluzdov/rsna-s24-r3d18-9slice,1,56158999,2026-09-11T05:12:57Z,0.852,,,pending,,experiments/S24/RESULT.json,scored COMPLETE 56158999 public 0.852 vs S22 0.825; OOF 0.800641; r2plus1d ref 56159319 COMPLETE public 0.859
S25,5,5,submitted,no,PIXEL_CACHE_V1@ready;FOLDS_V1@ready;LABEL_PILKWANG_V1@ready;S24@scored,validated,Rank-mean r3d18 and r2plus1d 9-slice,none_local_3d,all,unified_hidden_graph,0.40,transformer_component_replacement_share,ops/EXPERIMENT_SPECS.md,ca37a53d3fbe3fde954ee36fe32c1cdef54fff441ee387c108a79f668a2d21df,6311462359dfc6dabcb4cb73b1d0fb40f32771523ac1af804c564ba49034f37e,dmitriigluzdov/rsna-s25-r3d-r2p-rankmean,1,56176352,2026-09-12T02:05:43Z,,,pending,,experiments/S25/RESULT.json,visible 3/3 48.9s T4 CUDA; OOF 0.822343; submitted once PENDING 56176352; S22+r3d 0.806 not submitted
S26,6,1,planned,no,GROUP_LIGAMENT@promoted,waiting_dependency,Own model ligament composite,A0,ACL-MCL,unified_hidden_graph,0.40,max_transformer_replacement_share,,,,,,,,,,,pending,no_promoted_group_winner,experiments/S26/RESULT.json,
S27,6,2,planned,no,GROUP_MENISCUS@promoted,waiting_dependency,Own model meniscus composite,A0,meniscus,unified_hidden_graph,0.40,max_transformer_replacement_share,,,,,,,,,,,pending,no_promoted_group_winner,experiments/S27/RESULT.json,
S28,6,3,planned,no,GROUP_OA@promoted,waiting_dependency,Own model OA composite,A0,OA,unified_hidden_graph,0.40,max_transformer_replacement_share,,,,,,,,,,,pending,no_promoted_group_winner,experiments/S28/RESULT.json,
