key,status,experiment_id,artifact_ref,evidence_ref,updated_at_utc,notes
FOLDS_V1,missing,,,,,Locked study-level multilabel folds required
DINO_CACHE_V1,missing,,,,,Shared frozen representation cache required
LABEL_PILKWANG_V1,ready,,pilkwang/rsna-knee-llm-labels@report_labels_v2.csv,ops/reports/2026-09-07_day3.md,2026-09-07T03:13:00Z,SHA-256 6f704a7bdb2f894cc49445b19ba7c4378c3f548d3449e00361e10044bee40920 matches EXPERIMENT_SPECS
LABEL_STEVEN_V6,ready,,stevenleehans/rsna-knee-llm-report-labels@llm_labels_v2.csv,ops/reports/2026-09-07_day3.md,2026-09-07T03:13:00Z,SHA-256 3c082a987939528a55202028f655bd6f9dc5c9e28eff5058bbae7ef088a9f144; llm_labels_v4_blend.csv is not an independent teacher
LABEL_LIXIN_V1,ready,,lixin73/rsna-knee-llm-report-labels-sol56@labels_llm_gpt56sol.csv,ops/reports/2026-09-07_day3.md,2026-09-07T03:13:00Z,SHA-256 a79b05e609336811d51c97f9a48f00ea8004244a1a80fe886504a62bb39867ae
LABEL_ABLATIONS,waiting,,,,,S11-S14 must have OOF or terminal evidence
LABEL_WINNER,waiting,,,,,Choose only by locked OOF promotion rule
GEOMETRY_WINNER,waiting,,,,,Choose only by locked OOF promotion rule
ARCHITECTURE_SET,waiting,,,,,S21-S24 must have OOF or terminal evidence
GROUP_LIGAMENT,waiting,,,,,No promoted candidate yet
GROUP_MENISCUS,waiting,,,,,No promoted candidate yet
GROUP_OA,waiting,,,,,No promoted candidate yet
GROUP_FLUID,waiting,,,,,No promoted candidate yet
GROUP_BONE,waiting,,,,,No promoted candidate yet
HIGHRES_BRANCH,waiting,,,,,No promoted candidate yet
BEST_DINO,waiting,,,,,No promoted candidate yet
BEST_INDEPENDENT,waiting,,,,,No promoted candidate yet
ROBUST_SET,waiting,,,,,All viable S31-S33 must be evaluated or explicitly excluded
